Rank,Restaurant,Content,Sales,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category
1,McDonald's,NA,40412,0.049,13846,-0.005,NA,Quick Service & Burger
2,Starbucks,NA,21380,0.086,15049,0.03,NA,Quick Service & Coffee Cafe
3,Chick-fil-A,"While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.",11320,0.13,2470,0.05,NA,Quick Service & Chicken
4,Taco Bell,NA,11293,0.09,6766,0.027,NA,Quick Service & Mexican
5,Burger King,NA,10204,0.027,7346,0.002,NA,Quick Service & Burger
6,Subway,NA,10200,-0.02,23801,-0.04,NA,Quick Service & Sandwich
7,Wendy's,NA,9762,0.042,5852,0.007,NA,Quick Service & Burger
8,Dunkin',"Dunkin' dropped ""Donuts"" from its name and repositioned as a beverage-first concept, and it seems to have paid off, said Kevin Schimpf of Technomic. ""To have a good year while Starbucks is also still continuing to grow away, I think that was impressive for Dunkin',"" he said.",9228,0.05,9630,0.022,NA,Quick Service & Coffee Cafe
9,Domino's,NA,7044,0.069,6126,0.043,NA,Quick Service & Pizza
10,Panera Bread,NA,5890,0.04,2160,0.032,NA,Fast Casual & Bakery Cafe
11,Pizza Hut,"The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.",5558,0.006,7306,-0.024,NA,Quick Service & Pizza
12,Chipotle Mexican Grill,NA,5509,0.148,2584,0.053,NA,Fast Casual & Mexican
13,Sonic Drive-In,"The drive-in chain grew same-store sales for the second straight year under new parent Inspire Brands, which acquired Sonic in 2018. It kicked off 2020 with a refreshed look and tag line: ""This is how we Sonic.""",4687,0.046,3526,-0.021,NA,Quick Service & Burger
14,KFC,NA,4546,0.025,4065,-0.002,NA,Quick Service & Chicken
15,Olive Garden,"Olive Garden became the nation's largest casual-dining chain, growing sales 5% in 2019. The Italian chain seems to have had success bucking the delivery trend, delivering only for large orders of at least $75. It has also been focused on training and staffing to improve the dine-in experience.",4287,0.05,866,0.013,NA,Casual Dining & Italian/Pizza
16,Applebee's,NA,4085,-0.03,1665,-0.017,NA,Casual Dining & Varied Menu
17,Panda Express,"Panda Express has quietly established itself as a fast-casual stalwart, posting another year of double-digit sales growth (12%). ""They continue to have just strong year after strong year, and there's never any competition in their segment,"" said Schimpf.",3946,0.12,2209,0.049,NA,Fast Casual & Asian/Noodle
18,Arby's,NA,3884,0.019,3359,0.009,NA,Quick Service & Sandwich
19,Popeyes Louisiana Kitchen,NA,3812,0.183,2476,0.055,NA,Quick Service & Chicken
20,Little Caesars,"The third-largest pizza chain's self-service, heated Pizza Portals have helped it stay competitive in the carryout-pizza sector. And in January, Little Caesars made its return to the delivery space, partnering with DoorDash to deliver pies for ""at least $5 less"" than its competitors.",3811,0.027,4237,-0.006,NA,Quick Service & Pizza
21,Dairy Queen,NA,3760,0.029,4381,-0.006,NA,Quick Service & Frozen Desserts
22,Buffalo Wild Wings,NA,3669,-0.001,1206,-0.002,NA,Casual Dining & Sports Bar
23,Chili's Grill & Bar,NA,3563,0.022,1242,-0.007,NA,Casual Dining & Varied Menu
24,Jack in the Box,NA,3504,0.011,2243,0.003,NA,Quick Service & Burger
25,IHOP,NA,3266,0.02,1710,0.003,NA,Family Dining & Family Style
26,Texas Roadhouse,NA,3016,0.11,553,0.038,NA,Casual Dining & Steak
27,Denny's,NA,2691,0.011,1558,-0.015,NA,Family Dining & Family Style
28,Papa John's,NA,2638,-0.027,3142,-0.018,NA,Quick Service & Pizza
29,Outback Steakhouse,NA,2635,0.009,724,-0.012,NA,Casual Dining & Steak
30,Whataburger,NA,2556,0.058,830,0.006,NA,Quick Service & Burger
31,Red Lobster,NA,2490,0.016,679,0.001,NA,Casual Dining & Seafood
32,Cracker Barrel,"Cracker Barrel made the most surprising deal of 2019 when it took a $140 million stake in growth chain Punch Bowl Social. But that investment was tested in March, when the chain said it would not rescue Punch Bowl from foreclosure amid the coronavirus crisis, choosing instead to focus on helping its flagship chain and newly acquired Maple Street Biscuit Co.",2482,0.018,660,0.008,NA,Family Dining & Family Style
33,The Cheesecake Factory,NA,2180,0.025,206,0.025,NA,Casual Dining & Varied Menu
34,Jimmy John's Gourmet Sandwiches,NA,2105,-0.016,2787,-0.005,NA,Fast Casual & Sandwich
35,Hardee's,NA,2020,-0.04,1820,-0.014,NA,Quick Service & Burger
36,Zaxby's,NA,1886,0.06,910,0.013,NA,Fast Casual & Chicken
37,LongHorn Steakhouse,NA,1867,0.063,530,0.019,NA,Casual Dining & Steak
38,Culver's,"One of the country's fastest-growing chains over the past five years continued that trajectory in 2019, increasing sales by 13.9% and unit count by 6.7%. Because more than half of its sales come from takeout, it was working to improve its drive-thru technology and add mobile ordering.",1795,0.139,732,0.067,NA,Quick Service & Burger
39,Golden Corral,NA,1746,0.008,483,-0.012,NA,Quick Service & Family Casual
40,Five Guys Burgers and Fries,NA,1661,0.074,1368,0.007,NA,Fast Casual & Burger
41,Red Robin Gourmet Burgers and Brews,"A tumultuous year for the burger chain included the retirement of CEO Denny Marie Post, who had been with Red Robin since 2011, and continued attempts by activist investors to force a sale of the company. It named Paul Murphy as its new CEO in September.",1548,-0.003,556,-0.03,NA,Casual Dining & Varied Menu
42,Raising Cane's Chicken Fingers,NA,1466,0.238,457,0.143,NA,Fast Casual & Chicken
43,Carl's Jr.,NA,1423,-0.025,1095,-0.023,NA,Quick Service & Burger
44,Wingstop,"2019 marked Wingstop's 16th consecutive year of comps growth. In October, it said it planned to broaden its offerings to include whole wings to take advantage of lower commodity prices on whole chickens.",1363,0.19,1231,0.095,NA,Fast Casual & Chicken
45,Waffle House,Waffle House,1344,0.034,1959,0.012,NA,Family Dining & Family Style
46,Jersey Mike's Subs,NA,1340,0.167,1667,0.116,NA,Fast Casual & Sandwich
47,Bojangles',NA,1331,0.027,746,-0.013,NA,Quick Service & Chicken
48,BJ's Restaurant & Brewhouse,"BJ's Restaurants' bullish approach to off-premise has paid off, helping it to pass TGI Fridays and become the No. 10 casual-dining chain. As of July, delivery sales at the chain were growing at a 20% clip, and the chain reported that takeout and catering sales were increasing as well. BJ's also overhauled its back-of-house operations in 2019 to make things more efficient and easier on employees.",1161,0.04,208,0.03,NA,Casual Dining & Varied Menu
49,TGI Fridays,NA,1085,-0.085,385,-0.079,NA,Casual Dining & Varied Menu
50,In-N-Out Burger,NA,957,0.046,351,0.035,NA,Quick Service & Burger
51,Steak 'n Shake,"As of August, the chain had temporarily closed more than 100 locations with plans to refranchise them to single-store operators. And in early 2020, it announced plans to convert about 100 units to counter service. Prior to the coronavirus crisis, it was named in a Fitch Ratings report as a chain at risk of a Chapter 11 filing.",950,-0.077,576,-0.03,NA,Quick Service & Burger
52,P.F. Chang's,NA,917,0.014,221,0,NA,Casual Dining & Asian
53,Qdoba Mexican Eats,NA,901,0.059,730,-0.029,NA,Fast Casual & Mexican
54,El Pollo Loco,NA,894,0.03,482,-0.004,NA,Quick Service & Chicken
55,Krispy Kreme,NA,887,0.044,364,0.04,NA,Quick Service & Snack
56,Hooters,NA,858,0.004,341,0,NA,Casual Dining & Sports Bar
57,Del Taco,NA,850,0.04,596,0.028,NA,Quick Service & Mexican
58,Firehouse Subs,NA,832,0.048,1155,0.019,NA,Fast Casual & Sandwich
59,Bob Evans,NA,795,-0.042,483,-0.014,NA,Family Dining & Family Style
60,Moe's Southwest Grill,NA,749,0.02,730,0.015,NA,Fast Casual & Mexican
61,Papa Murphy's Pizza,"Though the chain saw declines in both sales and units in 2019, it remains beloved by consumers. Guests surveyed by Technomic named it their favorite limited-service pizza chain as well as a leader in tech-enabled ordering.",748,-0.059,1329,-0.051,NA,Quick Service & Pizza
62,Ruby Tuesday,NA,731,-0.114,451,-0.081,NA,Casual Dining & Varied Menu
63,McAlister's Deli,NA,725,0.07,460,0.036,NA,Fast Casual & Sandwich
64,Cheddar's Scratch Kitchen,NA,724,0.006,175,0.029,NA,Casual Dining & Varied Menu
65,Church's Chicken,NA,716,-0.052,1032,-0.05,NA,Quick Service & Chicken
66,Tim Hortons,"On the other side of that equation is Tim Hortons, which saw its consumer approval ratings slip by nearly 6 points in 2019, according to Technomic. A turnaround plan includes a renewed focus on the chain's core coffee and breakfast platforms along with changes to its loyalty program and a $100 million investment in drive-thru menu boards.",714,-0.035,715,-0.017,"Toronto, ON",Quick Service & Coffee Cafe
67,Ruth's Chris Steak House,NA,703,0.016,135,0.015,"Winter Park, FL",Steak
68,Carrabba's Italian Grill,NA,653,-0.01,225,-0.009,NA,Casual Dining & Italian/Pizza
69,Jason's Deli,NA,647,-0.011,283,0.018,NA,Fast Casual & Sandwich
70,Marco's Pizza,NA,628,0.048,915,0.036,NA,Quick Service & Pizza
71,Shake Shack,NA,622,0.318,173,0.272,NA,Fast Casual & Burger
72,California Pizza Kitchen,NA,621,-0.033,199,-0.005,NA,Casual Dining & Italian/Pizza
73,Baskin-Robbins,NA,615,0.006,2524,-0.01,NA,Quick Service & Frozen Desserts
74,Yard House,NA,609,0.066,79,0.097,NA,Casual Dining & Varied Menu
75,Bonefish Grill,NA,587,-0.009,197,0,NA,Casual Dining & Seafood
76,White Castle,NA,579,0.024,371,-0.005,NA,Quick Service & Burger
77,Tropical Smoothie Cafe,NA,576,0.218,834,0.16,NA,Quick Service & Beverage
78,Dave & Buster's,NA,571,0.065,132,0.109,"Dallas, TX",Sports Bar
79,Dutch Bros. Coffee,NA,567,0.15,369,0.132,NA,Quick Service & Coffee Cafe
80,Captain D's Seafood Kitchen,NA,561,0.031,540,0.021,NA,Quick Service & Seafood
81,Auntie Anne's,NA,559,0.002,1288,-0.005,NA,Quick Service & Snack
82,First Watch,NA,558,0.351,368,0.247,NA,Family Dining & Family Style
83,Perkins Restaurant & Bakery,"After its parent company filed for Chapter 11 protection in August, the struggling family-dining chain was scooped up by Huddle House for $51.5 million. Its new owner said it had no plans to convert Perkins units into Huddle Houses or vice versa.",541,-0.095,309,-0.13,NA,Family Dining & Family Style
84,Freddy's Frozen Custard & Steakburgers,NA,535,0.129,368,0.122,NA,Fast Casual & Burger
85,Checkers Drive-In Restaurants,NA,535,-0.018,584,-0.002,NA,Quick Service & Burger
86,Noodles & Company,"The chain followed up on its successful 2018 introduction of zucchini noodles with a cauliflower-based noodle last year. It also saw growth via digital channels and catering, and said it was poised to resume franchise growth that had slowed in recent years as the chain stabilized.",533,0.009,457,-0.004,NA,Fast Casual & Asian/Noodle
87,Einstein Bros. Bagels,NA,517,-0.021,710,-0.026,NA,Quick Service & Bakery Cafe
88,Jamba,NA,514,0.008,767,-0.018,NA,Quick Service & Beverage
89,Portillo's,NA,505,0.122,62,0.088,NA,Fast Casual & Sandwich
90,Boston Market,NA,501,-0.099,390,-0.141,NA,Fast Casual & Chicken
91,The Habit Burger Grill,NA,500,0.145,273,0.105,NA,Fast Casual & Burger
92,Logan's Roadhouse,NA,496,-0.037,204,-0.01,NA,Casual Dining & Steak
93,MOD Pizza,NA,483,0.238,467,0.182,NA,Fast Casual & Pizza
94,Smoothie King,NA,462,0.112,972,0.08,NA,Quick Service & Beverage
95,Mellow Mushroom,NA,461,-0.003,187,-0.011,NA,Casual Dining & Italian/Pizza
96,The Capital Grille,NA,461,0.047,58,0,NA,Fine Dining & Steak
97,Round Table Pizza,NA,450,0.013,435,0.007,NA,Quick Service & Pizza
98,Miller's Ale House,NA,446,0.102,98,0.114,NA,Casual Dining & Sports Bar
99,Potbelly sandwich Shop,"Potbelly closed stores and halted company-owned unit growth last year and hired a consulting firm to help it return to profitability. In a bid to boost operational efficiency, it debuted a new prototype in Chicago that reverses the concept's normal ordering process.",446,-0.025,471,-0.015,NA,Quick Service & Sandwich
100,Hungry Howie's Pizza,NA,439,0.07,537,-0.024,NA,Quick Service & Pizza
101,Charleys Philly Steaks,NA,435,0.049,540,0.023,NA,Quick Service & Sandwich
102,Chuy's,NA,426,0.071,100,0,"Austin, TX",Mexican
103,O'Charley's,NA,426,-0.076,196,-0.053,"Nashville, TN",Varied Menu
104,Pollo Tropical,NA,425,-0.021,174,0.03,"Miami, FL",Chicken
105,Maggiano's Little Italy,NA,417,0.011,53,0.019,"Dallas, TX",Italian/Pizza
106,Cicis,NA,410,-0.014,420,0.007,"Coppell, TX",Pizza
107,Long John Silver's,NA,404,-0.082,850,-0.024,"Louisville, KY",Seafood
108,Saltgrass Steak House,NA,402,0.149,88,0.1,"Houston, TX",Steak
109,Chuck E. Cheese's,NA,381,-0.005,537,0.013,"Irving, TX",Pizza
110,Taco John's,NA,373,0.005,387,-0.013,"Cheyenne, WY",Mexican
111,Texas de Brazil Churrascaria,NA,370,0.105,58,0.094,"Dallas, TX",Steak
112,Cold Stone Creamery,NA,369,-0.023,895,-0.009,"Scottsdale, AZ",Frozen Desserts
113,Blaze Pizza,NA,366,0.124,313,0.057,"Pasadena, CA",Pizza
114,Peet's Coffee,NA,357,0.043,423,0.022,"Emeryville, CA",Coffee Cafe
115,Dickey's Barbecue Pit,NA,349,-0.092,497,-0.064,"Dallas, TX",BBQ
116,Zoes Kitchen,NA,348,0.012,256,-0.015,"Plano, TX",Sandwich
117,Corner Bakery_Cafe,NA,348,-0.039,175,-0.038,"Dallas, TX",Bakery Cafe
118,Krystal Co.,NA,343,-0.09,318,-0.107,"Dunwoody, GA",Burger
119,Benihana,NA,340,0.016,71,0,"Doral, FL",Asian
120,Cooper's Hawk Winery & Restaurants,NA,338,0.199,41,0.171,"Countryside, IL",Varied Menu
121,Big Boy/Frisch's Big Boy,NA,338,-0.034,194,-0.03,"Warren, MI",Family Style
122,Black Bear Diner,NA,336,0.153,138,0.15,"Redding, CA",Family Style
123,Twin Peaks,NA,335,0.026,84,0,"Dallas, TX",Sports Bar
124,Schlotzsky's,NA,335,-0.005,373,0.005,"Atlanta, GA",Sandwich
125,Jet's Pizza,NA,331,-0.018,383,-0.01,"Sterling Heights, MI",Pizza
126,Famous Dave's,NA,329,-0.08,128,-0.111,"Minnetonka, MN",BBQ
127,On The Border Mexican Grill & Cantina,NA,327,-0.061,136,-0.049,"Irving, TX",Mexican
128,Fogo de Chao,NA,326,0.101,43,0.132,"Plano, TX",Steak
129,Ninety Nine Restaurants,NA,324,0.021,108,0.009,"Woburn, MA",Varied Menu
130,Village Inn,NA,313,-0.079,183,-0.09,"Denver, CO",Family Style
131,Taco Cabana,NA,311,-0.044,172,0.012,"Addison, TX",Mexican
132,Fleming's Prime Steakhouse & Wine Bar,NA,307,0.01,68,-0.029,"Tampa, FL",Steak
133,Caribou Coffee,NA,306,0.067,464,0.038,"Minneapolis, MN",Coffee Cafe
134,Jack's,NA,290,0.098,176,0.086,"Birmingham, AL",Burger
135,Au Bon Pain,NA,289,-0.081,170,-0.056,"Boston, MA",Bakery Cafe
136,Bar Louie,NA,284,-0.056,128,-0.03,"Addison, TX",Varied Menu
137,Sarku Japan,NA,281,0.024,224,-0.004,"New York, NY",Asian/Noodle
138,Old Chicago Pizza & Taproom,NA,275,0.045,109,0.019,"Chattanooga, TN",Italian/Pizza
139,Rally's Hamburgers,NA,275,-0.035,290,-0.037,"Lexington, KY",Burger
140,Torchy's Tacos,NA,272,0.173,72,0.143,"Austin, TX",Mexican
141,Pizza Ranch,NA,269,0.073,212,0.029,"Orange City, IA",Pizza
142,Pappadeaux Seafood Kitchen,NA,269,0.031,40,0,"Houston, TX",Seafood
143,Braum's Ice Cream & Dairy Stores,NA,268,0.022,281,0,"Oklahoma City, OK",Frozen Desserts
144,Pei Wei Asian Diner,NA,268,-0.125,150,-0.167,"Irving, TX",Asian/Noodle
145,Cafe Rio Mexican Grill,NA,267,0.099,126,0.068,"Salt Lake City, UT",Mexican
146,Morton's The Steakhouse,NA,266,-0.015,63,-0.016,"Houston, TX",Steak
147,Smashburger,NA,265,-0.065,312,-0.034,"Denver, CO",Burger
148,Wienerschnitzel,NA,265,0.036,330,0.015,"Irvine, CA",Sandwich
149,Sizzler,NA,259,-0.038,122,-0.069,"Mission Viejo, CA",Family Casual
150,Seasons 52,NA,253,0.014,44,0.048,"Orlando, FL",Varied Menu
151,Bahama Breeze Island Grille,NA,252,0.053,43,0.075,NA,Varied Menu
152,Pret A Manger,"CEO Clive Schlee retired after 16 years at the helm of the natural foods chain, handing the reign to COO Pano Christou. The transition came in July as Pret prepared to take over U.K. vegetarian chain Eat.",252,0.047,95,0.033,NA,Bakery Cafe
153,Godfather's Pizza,NA,250,0.049,569,0.038,NA,Pizza
154,Huddle House,NA,247,0.009,342,-0.026,NA,Family Style
155,Mastro's Restaurants,NA,242,0.097,18,0.059,NA,Steak
156,Uncle Julio's,NA,239,0.117,36,0.029,NA,Mexican
157,Fazoli's,NA,238,0.028,215,0,NA,Sandwich
158,Rubio's,NA,232,-0.001,197,-0.034,NA,Mexican
159,Legal Sea Foods,NA,227,-0.019,34,-0.029,NA,Seafood
160,A&W All-American Food,"The chain's 100th birthday found it working to reconcile its classic heritage with modern trends. It has doubled down on social media marketing to target younger generations and introduced tablet-based staff training to slow turnover. It's exploring delivery, though ""the jury's still out,"" CEO Kevin Bazner told RB in July.",227,0.018,575,-0.065,NA,Burger
161,Newk's Eatery,NA,227,0.004,121,-0.008,NA,Sandwich
162,Fuzzy's Taco Shop,NA,225,0.086,152,0.034,NA,Mexican
163,Sbarro,NA,218,-0.04,300,-0.026,NA,Pizza
164,Romano's Macaroni Grill,NA,218,-0.046,85,-0.034,NA,Italian/Pizza
165,Brio Tuscan Grille,NA,217,-0.04,57,-0.017,NA,Italian/Pizza
166,Lazy Dog Restaurant & Bar,NA,213,0.213,36,0.2,NA,Varied Menu
167,Souplantation & Sweet Tomatoes,NA,211,-0.033,97,0,NA,Family Casual
168,Friendly's,"The family-dining chain closed many underperforming units in 2019, including 23 on one day in April, reducing its unit count by more than 20% for the year. The 86-year-old brand cited ""shifting consumer demographics and market dynamics"" as challenges.",210,-0.153,160,-0.204,NA,Family Style
169,Del Frisco's Double Eagle Steak House,NA,205,0.124,16,0,NA,Steak
170,Penn Station East Coast Subs,NA,201,0.008,306,-0.013,NA,Sandwich
171,Cinnabon,NA,201,0.056,956,0.035,NA,Snack
172,Uno Pizzeria & Grill,NA,196,-0.129,85,-0.141,NA,Italian/Pizza
173,J. Alexander's,NA,195,0.028,34,0.03,NA,Varied Menu
174,Luby's,"Luby's, another of the industry's oldest concepts, also closed underperforming locations last year, shrinking its footprint by 6%. And in September, it said it had begun investigating ""strategic alternatives,"" or a sale, merger or refinancing.",195,-0.075,79,-0.06,NA,Family Casual
175,Which Wich,"Under the guidance of new President Cherry Hearn, the chain updated its food and beverage menu, starting with the introduction of french fries in July. It also planned to add more chef-created sandwiches in addition to its extensive build-your-own options.",193,-0.042,372,-0.039,NA,Sandwich
176,Firebirds Wood Fired Grill,NA,192,0.074,51,0.063,NA,Varied Menu
177,Le Pain Quotidien,NA,192,0.012,94,0,NA,Bakery Cafe
178,Sonny's BBQ,NA,191,-0.083,94,-0.069,NA,BBQ
179,True Food Kitchen,"The health-focused chain with a rotating menu is in growth mode, with plans for new units as well as its first stand-alone cocktail and juice bar, located next to a new True Food Kitchen location at Caesars Palace in Las Vegas.",190,0.138,32,0.28,NA,Varied Menu
180,Buca di Beppo,NA,189,-0.057,76,-0.013,NA,Italian/Pizza
181,Hard Rock Cafe,NA,187,-0.052,40,-0.048,NA,Varied Menu
182,Johnny Rockets,NA,186,-0.102,155,-0.114,NA,Varied Menu
183,Fuddruckers,NA,185,-0.158,138,-0.115,NA,Burger
184,The Original Pancake House,NA,185,0.031,141,0,NA,Family Style
185,Sweetgreen,"In June, Sweetgreen made its first acquisition: meal delivery service Galley Foods. The move signaled a new and more aggressive approach to delivery for the fast-growing chain, combining Sweetgreen's supply chain with Galley's knowledge of home delivery.",184,0.168,102,0.109,NA,Healthy
186,Golden Chick,NA,183,0.067,184,0.005,NA,Chicken
187,Mountain Mike's Pizza,NA,181,0.109,215,0.054,NA,Pizza
188,Bubba Gump Shrimp Co.,NA,181,-0.029,27,0,NA,Seafood
189,The Melting Pot,NA,181,-0.065,105,-0.079,NA,Varied Menu
190,Farmer Boys,NA,179,0.017,93,0.011,NA,Burger
191,Donatos Pizza,NA,179,0.038,165,0.031,NA,Pizza
192,Shoney's,NA,179,-0.044,126,-0.008,NA,Family Style
193,Taco Bueno,NA,178,-0.124,145,-0.121,NA,Mexican
194,Claim Jumper,NA,177,-0.102,35,-0.054,NA,Varied Menu
195,Wetzel's Pretzels,NA,177,0.039,353,0.054,NA,Snack
196,La Madeleine Country French Cafe,NA,174,0.024,87,0,NA,Bakery Cafe
197,Giordano's,NA,173,0.055,70,0.014,NA,Italian/Pizza
198,Islands Fine Burgers & Drinks,NA,173,0.009,56,0,NA,Varied Menu
199,Mimi's Bistro & Bakery,NA,172,-0.048,77,-0.025,NA,Varied Menu
200,Beef 'O' Brady's,"The chain is working on a rejuvenation, converting about 26 of its franchised units to company-owned ones and using those as testing grounds for new initiatives. It rolled out a separate lunch menu and added some higher-quality dinner options such as steak and salmon, and is also investing in high-tech fryers and a new POS system.",171,-0.05,153,-0.025,NA,Sports Bar
201,Metro Diner,NA,171,0.363,69,0.03,NA,Family Style
202,Bill Miller Bar-B-Q,NA,170,0.036,75,0.014,NA,BBQ
203,Black Angus Steakhouse,NA,168,0.016,42,-0.045,NA,Steak
204,Smokey Bones Bar & Fire Grill,"New CEO James O'Reilly, hired in May, plans to overhaul the barbecue chain's menu this year, disposing of items such as fish and chips and getting back to the basics with house-smoked barbecue, steaks and burgers. It will also focus more on the bar, with an emphasis on craft beer and cocktails.",168,-0.013,61,-0.032,NA,BBQ
205,Joe's Crab Shack,NA,166,-0.074,53,-0.07,NA,Seafood
206,LaRosa's Pizzeria,NA,164,0.037,66,0.031,NA,Italian/Pizza
207,Roosters,NA,163,0.067,42,0.024,NA,Varied Menu
208,Great Harvest Bread Co.,NA,162,-0.019,182,-0.005,NA,Bakery Cafe
209,Shari's Cafe and Pies,NA,161,-0.024,92,0,NA,Family Style
210,Lee's Famous Recipe Chicken,NA,161,-0.023,129,-0.015,NA,Chicken
211,Wayback Burgers,NA,159,0.02,143,0.007,NA,Burger
212,McCormick & Schmick's,NA,157,-0.156,35,-0.146,NA,Seafood
213,Grand Lux Cafe,NA,157,0.012,13,0,NA,Varied Menu
214,Anthony's Coal Fired Pizza,NA,153,0.04,68,0.015,NA,Italian/Pizza
215,Chicken Salad Chick,"Benefiting from being perhaps the only chain focusing on chicken salad, Chicken Salad Chick announced its 16th consecutive quarter of same-store sales growth in February 2020. It was acquired by private-equity firm Brentwood Associates in November.",153,0.395,144,0.385,NA,Chicken
216,Paris Baguette,"The chain originating in South Korea is growing quickly in the U.S. under the guidance of growth-chain veterans such as Darren Tipton and Jack Moran, formerly of Le Pain Quotidien. Tipton moved up to CEO for U.S. operations in 2019, and Moran became the company's global chief.",152,0.145,81,0.08,NA,Bakery Cafe
217,Eat'n Park,NA,152,-0.065,63,-0.074,NA,Family Style
218,Hurricane Grill & Wings,NA,151,0.008,56,0,NA,Sports Bar
219,The Old Spaghetti Factory,NA,150,0.022,42,0,NA,Italian/Pizza
220,Taziki's Mediterranean Cafe,NA,149,0.119,93,0.069,NA,Ethnic
221,Menchie's Frozen Yogurt,NA,149,-0.031,416,-0.021,NA,Frozen Desserts
222,Bruegger's Bagels,NA,148,-0.045,210,-0.028,NA,Bakery Cafe
223,Tijuana Flats,NA,147,0.065,139,0.022,NA,Mexican
224,Duffy's Sports Grill,NA,144,0.026,34,0,NA,Sports Bar
225,Eddie V's Prime Seafood,NA,144,0.081,21,0.105,NA,Seafood
226,Topgolf,"The eatertainment chain developed a new, smaller prototype that will allow it to go into small and midsize cities, greatly expanding its potential market. It was focused on places with between 100,000 and 500,000 residents. The first such location opened in Kirkland, Wash., in January.",144,0.146,54,0.149,NA,Varied Menu
227,Ocean Prime,NA,144,0.202,16,0.067,NA,Seafood
228,Pappasito's Cantina,NA,143,0.022,25,0,NA,Mexican
229,Pollo Campero,NA,143,0.011,78,-0.025,NA,Chicken
230,Houlihan's,The chain filed for bankruptcy in November and was simultaneously acquired by Landry's for $40 million. The move followed the closure of 12 unprofitable stores. It joins Landry's collection of polished-casual chains such as Morton's The Steakhouse and McCormick & Schmick's.,143,-0.212,45,-0.328,NA,Varied Menu
231,Old Country Buffet/HomeTown Buffet,NA,142,-0.188,49,-0.246,NA,Family Casual
232,Great American Cookies,NA,142,0.027,368,0.022,NA,Snack
233,Nobu,NA,139,0.094,17,0.133,NA,Asian
234,BurgerFi,NA,138,0.03,112,0.077,NA,Burger
235,Mission BBQ,NA,136,0.25,90,0.216,NA,BBQ
236,Walk-On's Sports Bistreaux,NA,133,0.278,33,0.375,NA,Sports Bar
237,The Coffee Bean & Tea Leaf,"The LA-based chain was acquired by Jollibee in July for $350 million, becoming the largest deal yet for the international fast-food company. Jollibee planned to grow the The Coffee Bean in Asia, where there's a race for coffee supremacy.",133,-0.021,282,-0.007,NA,Coffee Cafe
238,Yogurtland,NA,132,-0.026,267,-0.022,NA,Frozen Desserts
239,Daylight Donuts,NA,132,0.022,415,0.002,NA,Snack
240,WaBa Grill,NA,132,0.037,191,0,NA,Asian/Noodle
241,54th Street Restaurant & Drafthouse,NA,131,0.045,31,0.069,NA,Varied Menu
242,Biggby Coffee,NA,129,0.038,240,0.008,NA,Coffee Cafe
243,Costa Vida Fresh Mexican Grill,NA,129,0.052,93,0.022,NA,Mexican
244,L&L Hawaiian Barbecue,NA,129,0.051,195,0.037,NA,BBQ
245,Gyu-Kaku,NA,129,0.186,52,0.083,NA,Asian
246,Rainforest Cafe,NA,129,-0.104,18,-0.053,NA,Varied Menu
247,PDQ,NA,127,-0.055,56,-0.111,NA,Chicken
248,Lupe Tortilla,NA,127,0.121,25,0.087,NA,Mexican
249,Cook-Out Restaurant,NA,126,0.101,270,0.071,NA,Burger
250,Jollibee,NA,126,0.152,40,0.111,NA,Chicken
